"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0.5,1,0.5,4,0.9,0.8,0,100,46,0.86,0.348735088019777,39,0.39,0.490207130000197,40,0.4,0.492365963917331,0,0,0,14,0.14,0.348735088019777,23,0.23,0.422952584681651
0.5,1,0.5,5,0.9,0.8,0,100,38,0.88,0.32659863237109,30,0.3,0.460566186471838,50,0.5,0.502518907629606,0,0,0,12,0.12,0.32659863237109,27,0.27,0.446196043338474
0.5,1,0.5,6,0.9,0.8,0,100,43,0.9,0.301511344577764,36,0.36,0.482418151324422,47,0.47,0.501613558046592,0,0,0,10,0.1,0.301511344577764,24,0.24,0.429234695990928
0.5,1,0.5,7,0.9,0.8,0,100,46,0.9,0.301511344577764,35,0.35,0.479372485441102,44,0.44,0.498887651569859,0,0,0,10,0.1,0.301511344577764,26,0.26,0.440844002276808
0.5,1,0.5,8,0.9,0.8,0,100,39,0.86,0.348735088019777,34,0.34,0.476095228569523,47,0.47,0.501613558046592,0,0,0,14,0.14,0.348735088019777,27,0.27,0.446196043338474
0.5,1,0.5,9,0.9,0.8,0,100,43,0.91,0.287623491264661,38,0.38,0.487831731214563,48,0.48,0.502116731568678,0,0,0,9,0.09,0.287623491264661,26,0.26,0.440844002276808
0.5,1,0.5,10,0.9,0.8,0,100,56,0.95,0.21904291355759,44,0.44,0.498887651569859,39,0.39,0.490207130000197,0,0,0,5,0.05,0.21904291355759,24,0.24,0.429234695990928
0.5,1,0.5,1,0.9,1,0,100,45,0.87,0.337997668989631,45,0.45,0.5,42,0.42,0.496044963748858,0,0,0,13,0.13,0.337997668989631,21,0.21,0.409360180740332
0.5,1,0.5,2,0.9,1,0,100,47,0.87,0.337997668989631,47,0.47,0.501613558046592,40,0.4,0.492365963917331,0,0,0,13,0.13,0.337997668989631,25,0.25,0.435194139889245
0.5,1,0.5,3,0.9,1,0,100,49,0.92,0.272659924344291,49,0.49,0.502418393795691,43,0.43,0.497569851956243,0,0,0,8,0.08,0.272659924344291,25,0.25,0.435194139889245
0.5,1,0.5,4,0.9,1,0,100,40,0.87,0.337997668989631,40,0.4,0.492365963917331,47,0.47,0.501613558046592,0,0,0,13,0.13,0.337997668989631,22,0.22,0.416333199893227
0.5,1,0.5,5,0.9,1,0,100,49,0.9,0.301511344577764,49,0.49,0.502418393795691,41,0.41,0.49431107042371,0,0,0,10,0.1,0.301511344577764,19,0.19,0.394277244403663
0.5,1,0.5,6,0.9,1,0,100,46,0.85,0.358870281282637,46,0.46,0.500908265962033,39,0.39,0.490207130000197,0,0,0,15,0.15,0.358870281282637,13,0.13,0.337997668989631
0.5,1,0.5,7,0.9,1,0,100,50,0.89,0.31446603773522,50,0.5,0.502518907629606,39,0.39,0.490207130000197,0,0,0,11,0.11,0.31446603773522,21,0.21,0.409360180740332
0.5,1,0.5,8,0.9,1,0,100,47,0.87,0.337997668989631,47,0.47,0.501613558046592,40,0.4,0.492365963917331,0,0,0,13,0.13,0.337997668989631,24,0.24,0.429234695990928
