"prob.shore","prob.ship","prob.est","nstops","prob.surv","onshore","onship","containers","shore","shorestopM","shorestopSD","rmshoreS","rmshoreM","rmshoreSD","transferS","transferM","transferSD","rmtransS","rmtransM","rmtransSD","dierouteS","dierouteM","dierouteSD","establishS","establishM","establishSD"
0.3,0,0.9,6,0.9,0,0,100,70,1.57,1.53908670281693,0,0,0,0,0,0,0,0,0,137,1.37,0.860526031276829,51,0.51,0.502418393795691
0.4,0,0.9,6,0.9,0,0,100,77,1.67,1.56382721409865,0,0,0,0,0,0,0,0,0,136,1.36,1.03981350309184,57,0.57,0.497569851956243
0.5,0,0.9,6,0.9,0,0,100,80,1.41,1.27203805292169,0,0,0,0,0,0,0,0,0,124,1.24,0.683425714376264,56,0.56,0.498887651569859
0.6,0,0.9,6,0.9,0,0,100,78,1.18,0.957479857108063,0,0,0,0,0,0,0,0,0,113,1.13,0.418148878808116,60,0.6,0.492365963917331
0.7,0,0.9,6,0.9,0,0,100,86,1.23,0.827006284099096,0,0,0,0,0,0,0,0,0,115,1.15,0.5,66,0.66,0.476095228569524
0.8,0,0.9,6,0.9,0,0,100,87,0.95,0.457816513022367,0,0,0,0,0,0,0,0,0,102,1.02,0.14070529413629,62,0.62,0.487831731214563
0.9,0,0.9,6,0.9,0,0,100,85,0.93,0.476837223141962,0,0,0,0,0,0,0,0,0,101,1.01,0.1,63,0.63,0.48523658709391
1,0,0.9,6,0.9,0,0,100,89,0.89,0.31446603773522,0,0,0,0,0,0,0,0,0,100,1,0,73,0.73,0.446196043338474
0,0,0.9,7,0.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0
0.1,0,0.9,7,0.9,0,0,100,35,1.12,1.92422094953419,0,0,0,0,0,0,0,0,0,194,1.94,1.73973178009332,25,0.25,0.435194139889245
0.2,0,0.9,7,0.9,0,0,100,57,1.63,1.92093727122985,0,0,0,0,0,0,0,0,0,148,1.48,1.11445960089193,44,0.44,0.498887651569859
